Insurer,FY,Gross Premium,Net Premium,Net Earned Premium,Net Commisions Payable,Gross Claims Paid,Net Claims Paid,Net Claims Incurred,Unexpired Risk Adjustment,Management Expenses,Underwriting Profit/Loss
ABCI,2018,259348,30060,26166,-10298,58235,3683,10241,-339,20885,5677
Aetna,2018,66430,65433,12144,1557,2480,2480,12539,2115,1153,-5220
AIA (HK),2018,112084,112084,97384,16641,46116,46116,55091,0,4332,21320
AIA International,2018,1421797,1148533,1183472,44124,1166376,954968,975467,0,99455,64426
AIG Insurance HK,2018,1773448,721385,705314,-144163,679053,338890,460861,0,373178,15438
AGCS SE,2018,925878,561499,509229,43992,336066,176348,205863,8701,219559,31114
Allied World,2018,1004446,740916,750591,140841,921219,668588,355482,10046,169757,74465
Arch MI Asia,2018,16417,16417,64692,0,313,-350,-888,0,36734,28846
Asia Capital Re,2018,216283,197866,200455,53817,353395,198639,174302,0,8128,-35792
Asia Insurance,2018,1442075,939453,861348,224527,813426,389143,402723,0,81464,152634
ASIA-PACIFIC P&C,2018,20327,10149,12268,-43,13301,6536,-521,0,13183,-351
Generali,2018,1603904,1465306,1455696,283227,867797,795652,1042549,3001,156113,-29194
Gard P&I,2018,284871,143180,143180,12908,119924,99003,179286,0,2751,-51765
Skuld,2018,357133,108140,107099,11199,78045,44563,37511,0,63611,-5222
ACyC,2018,84981,26146,25468,-13332,27948,7173,7313,0,20832,10655
AXA China (Bermuda),2018,92,93,92,1,25679,16611,-427,0,1000,-482
AXA China (HK),2018,1135438,711751,701705,58554,887285,581658,610231,0,71484,-38564
AXA CS,2018,279776,186983,181768,32604,167473,117985,137672,3844,29364,-21716
AXA General,2018,3933434,3094393,3082017,621047,2336217,1806330,1922692,-46844,483215,101907
AXA Life,2018,0,0,0,0,0,0,0,0,0,0
BOC Group Insurance,2018,1882614,1453285,1491425,321338,1274206,964565,1030124,26050,105127,8786
BC Re,2018,124487,107159,105785,33959,69975,56891,47169,387,17798,6472
BE Re,2018,111910,105543,97401,27712,49088,43384,66308,5068,8394,-10081
Berkley Insurance,2018,104037,90296,72943,17879,19231,13181,39454,321,29616,-14327
BHSI,2018,346563,67885,69809,-59146,100705,20140,62261,402,83589,-17297
Blue Cross,2018,1349669,1291399,1253849,175678,915408,883750,911591,2353,64508,99719
Bupa,2018,3529856,2963757,2851561,180687,2457162,2118143,2149610,0,371879,149385
California Insurance,2018,51347,42196,47639,14693,15770,13787,30464,3080,9377,-9975
CGN Captive,2018,245097,130618,103196,14766,144,144,3999,0,8129,76302
Chevalier,2018,70382,52828,77987,2751,99784,72450,22616,10370,16939,25311
China BOCOM,2018,168517,40407,35718,8104,92842,11342,7765,145,15220,4484
China Merchants,2018,177384,133436,124425,47589,42546,37830,53337,0,16382,7117
China Overseas Insurance,2018,194789,151561,137559,148,217752,140437,87683,32555,15399,1774
China Pacific,2018,176945,68387,63186,15307,76257,31796,49199,423,13630,-15373
China Ping An,2018,390767,254660,245176,64497,193655,115677,184109,0,29581,-33011
CTPI(HK),2018,3195894,1926197,2248420,765790,2421466,1890290,1120985,3406,205138,153101
Chong Hing,2018,37574,26950,28698,-2985,21688,19838,18397,-1172,10059,4399
Chubb Insurance,2018,1464869,725968,698233,147985,806781,275710,271316,0,198052,80880
CIGNA Worldwide General,2018,794076,788759,728465,61185,515768,508655,530341,0,190443,-53504
CMBWL,2018,605112,496856,469152,80695,336768,285123,227694,44587,54973,61203
CNOOC Insurance,2018,655995,214437,183304,-12677,196613,39228,-30245,0,25533,200693
COFACE,2018,544127,399390,338379,67013,209244,105692,263559,13181,143352,-148726
Concord,2018,20220,14582,15950,2715,13671,7437,-3762,-720,7385,10332
Dah Sing Insurance (1976),2018,428545,288315,261618,69665,165447,96973,152708,3197,59730,-23682
East Point Re,2018,0,0,0,0,0,0,-5,0,3,2
EULER HERMES,2018,429324,45199,90637,-23609,234321,75834,75967,0,79285,-41006
Factory Mutual,2018,111425,52136,50452,-4730,967,1324,16748,0,4689,33745
Falcon Insurance,2018,375045,237598,241852,61247,230675,146180,122315,1404,52132,4754
Federal,2018,0,0,0,0,0,0,0,0,0,0
First American Title,2018,1973,1973,1973,0,0,0,-203,0,7086,-4910
FWD General,2018,512283,261745,266192,37674,275994,129452,137930,0,87542,3046
GAN,2018,0,0,0,0,7157,6464,-2367,0,3426,-1059
Gard M&E Ltd.,2018,51211,50550,18621,5304,2551,2551,8266,0,423,4628
GenRe,2018,21867,18952,20067,-2762,5426,5426,-42285,0,13297,51817
Hang Seng Insurance,2018,0,0,0,0,0,0,0,0,0,0
Hannover Re,2018,266741,133371,132401,18383,168012,84006,100163,159,7570,6126
HDI,2018,416937,85220,95193,7328,405480,92404,-9240,0,32254,64851
HKMCI,2018,447412,406254,262674,78782,3869,2843,2898,0,19432,161562
HKMC,2018,187345,159485,114738,51728,3687,3098,404,0,25443,37163
HK Re,2018,0,0,0,0,0,0,0,0,1,-1
Hong Leong Insurance (Asia),2018,193674,76665,76029,-30887,82626,32695,30814,0,52514,23588
HSBC Insurance,2018,0,0,0,0,0,0,0,0,0,0
Liberty Int'l,2018,970439,895347,846610,197420,481762,472056,488280,2500,111284,47126
LSMHK,2018,257391,168265,126419,30943,29001,24049,17751,0,67524,10201
Lloyd's,2018,837553,678238,669758,214403,467244,387029,649269,-716,12779,-205977
London Steam-Ship,2018,39868,7556,7556,4158,26076,2608,1089,0,2078,231
Min Xin,2018,7773,5935,8015,2074,14603,11276,1458,15,3747,721
MSIG Insurance,2018,1062488,831618,846176,233956,419544,355099,428193,12385,234793,-63151
Munich Re,2018,207332,172703,198737,28020,150075,150075,162364,0,20918,-12565
New India,2018,95458,92301,84605,31255,41465,39568,49083,-1070,7503,-2166
Pacific Insurance,2018,123146,104899,98279,19926,65006,54980,53169,3105,20516,1563
Paofoong,2018,65930,55112,54155,16055,24874,22721,24196,0,7919,5985
PartnerRe Europe,2018,8357,3510,3566,122,2438,1142,2463,0,886,95
Peak Re,2018,692425,642142,571084,129008,158924,153085,371926,0,14871,55279
PICC (HK),2018,574165,157469,152771,30065,93346,61349,104050,11223,32204,-24771
Pioneer,2018,31206,18379,18172,4202,12077,8118,8632,0,6413,-1075
Prudential (HK) General,2018,1008834,921141,875553,244454,473190,437734,463636,-5873,118921,54415
QBE General Insurance (HK),2018,521861,443053,448014,165523,208086,156795,149842,-11291,128522,15418
QBE HKSI,2018,1451333,-746099,-271538,460814,1036869,206448,-559058,-128913,351293,-395674
QBE MI Asia,2018,44526,-3655,62645,-6213,946,710,760,0,14609,53489
Swiss Re,2018,2261676,2259246,1942510,104909,352995,341174,1743723,0,83561,10317
SCOR Re,2018,102016,100767,103503,34226,42021,39041,124950,0,3655,-59328
Shipowners' Mutual,2018,65311,59994,60771,9577,31847,29034,49668,0,14290,-12764
Sincere Insurance,2018,38,4,4,0,0,0,0,0,0,4
SIL,2018,308551,186084,186247,-6473,137157,22294,55791,1536,19840,115553
Sompo Insurance (HK),2018,513568,279461,251782,56249,279805,98745,108825,67,64062,22579
Sompo Japan Nipponkoa,2018,15493,14497,28854,8393,76583,74523,15829,0,2379,2253
Sompo Japan Nipponkoa Re,2018,0,0,0,0,0,0,0,0,0,0
Starr,2018,577490,142392,147100,7445,385283,75654,102277,0,49114,-11736
Sun Hung Kai,2018,512263,243973,236325,-46853,338515,196279,184797,4060,29418,64903
Swiss Re Int'l SE,2018,53516,2588,9216,-16584,49636,12851,-165,0,29865,-3900
TPRe,2018,773269,586794,607262,116338,457189,374431,471374,0,24466,-4916
Target,2018,452262,391085,360803,36894,302142,272774,381971,13820,68354,-140236
Toa Re,2018,109128,104730,101385,367,54322,54322,80783,0,5262,14973
TMF (HK),2018,379985,295996,290020,49112,149053,134161,157315,0,70319,13274
Transatlantic Re,2018,92476,92458,87564,32703,46733,46665,102962,0,6838,-54939
Trinity,2018,139572,121667,122791,8735,104518,95878,111509,1106,4252,-2811
TT Club,2018,222617,31583,30735,-12722,47767,4085,9074,0,38591,-4208
Tugu,2018,60550,18757,21509,3379,119432,50647,-34882,-5772,9069,49715
United Builders,2018,11483,7408,8546,993,20531,20179,2470,3167,5715,-3799
UK P&I Club (Europe),2018,65683,17111,17111,5092,28321,2751,3472,0,2462,6085
Well Link Insurance,2018,63567,37754,38851,-6968,50595,28862,35800,-989,34818,-23810
West of England ,2018,463910,136315,136315,47742,371893,67911,67009,0,32664,-11100
XL Insurance,2018,883499,169400,174658,14493,209148,70532,133051,3111,119532,-95529
ZGIHK,2018,0,0,0,0,0,0,0,0,0,0
Zurich Insurance,2018,2348548,1341583,1316987,269993,1118815,725328,744306,9754,345486,-52552
ABCI,2019,244233,43640,44144,-302,107779,14688,36298,439,21089,-13380
Aetna,2019,306570,302427,229446,26458,138802,138802,173507,-2115,21821,9775
AIA (HK),2019,148655,148654,148896,19899,95176,95176,97336,0,4347,27314
AIA International,2019,1685056,1310373,1269321,51614,1331585,1041401,1064691,0,126755,26261
AIG Insurance HK,2019,1913755,752591,750826,-151669,922593,389757,501084,0,354980,46431
AGCS SE,2019,928619,562929,619210,36230,417288,252489,179867,-9051,244031,168133
Allied World,2019,1006792,686145,718197,113374,561641,452657,400819,-4699,156319,52384
Arch MI Asia,2019,18365,18365,49350,0,377,43,215,0,27938,21197
Asia Capital Re,2019,140301,124495,180508,45622,202450,135118,108147,0,8898,17841
Asia Insurance,2019,1658877,1042777,961873,245714,922437,415498,470856,0,88916,156387
ASIA-PACIFIC P&C,2019,43298,23837,21071,3154,19026,11939,24445,0,18412,-24940
Generali,2019,1455066,1260648,1267748,261111,1040553,904298,960502,2173,106759,-62797
Gard P&I,2019,316683,166593,166594,13593,149991,122629,211481,0,4620,-63100
Skuld,2019,337266,105545,105602,11088,117256,42283,46046,0,53862,-5394
ACyC,2019,101180,40223,36476,-11060,12695,3611,13860,0,23738,9938
Avo Insurance,2019,335,321,25,-1,0,0,19,0,4434,-4427
AXA China (Bermuda),2019,81,81,84,1,15370,10407,-629,0,0,712
AXA China (HK),2019,1109742,679524,686946,58963,827661,498264,592535,0,74129,-38681
AXA CS,2019,220501,139770,107609,19642,90149,58143,68692,0,12179,7096
AXA General,2019,4309078,3362377,3274957,661693,2292454,1795393,1885945,-3995,580783,150531
AXA Life,2019,0,0,0,0,0,0,0,0,341,-341
BOC Group Insurance,2019,1890271,1457819,1530707,320627,1295957,983299,1143079,-4040,99260,-28219
BC Re,2019,147853,130637,122708,33682,100966,62385,68684,5649,9638,5055
BE Re,2019,137344,129917,120636,34995,79616,62826,98220,5624,10410,-28613
Berkley Insurance,2019,148150,128584,113498,27594,36968,31622,60502,-87,27394,-1905
BHSI,2019,568266,111835,89108,-62404,125251,25049,65526,364,90755,-5133
Blue Cross,2019,1332882,1270903,1299317,171645,935150,907207,918599,5426,73306,130341
Britannia P&I,2019,0,0,0,0,0,0,0,0,0,0
Bupa,2019,3798197,3280220,3204294,202560,2748202,2381943,2413691,0,493142,94901
California Insurance,2019,42696,34650,42689,13374,27821,19331,36974,1547,7997,-17203
CGN Captive,2019,242034,140631,123343,19964,15845,507,12222,0,8624,82533
Chevalier,2019,150773,151086,101357,14331,70402,59976,42452,-7485,18645,33414
China BOCOM,2019,173844,55718,33921,10044,114400,8117,-5446,4571,18345,6407
China Merchants,2019,212923,145072,141373,47253,49673,40476,62854,0,20985,10281
China Overseas Insurance,2019,318613,243822,158571,1912,165949,152784,122113,48467,13512,-27433
China Pacific,2019,269927,92138,81769,12989,77547,27708,53276,4111,16018,-4625
China Ping An,2019,449993,276601,262358,68739,303188,172142,277694,3351,33936,-121362
CTPI(HK),2019,3370075,2408063,2229775,833414,1619965,1098514,1257104,-2181,226785,-85347
Chong Hing,2019,39962,27690,27485,-3648,15351,14743,9180,362,10528,11063
Chubb Insurance,2019,1579000,829291,815612,147420,686400,281455,410897,11377,263275,-17357
CIGNA Worldwide General,2019,1037662,1030131,913445,73943,605120,597795,606684,0,210407,22411
CMBWL,2019,673354,555131,517271,88620,312842,253328,267299,19093,58942,83317
CNOOC Insurance,2019,634819,217006,207765,-807,245631,39594,-43364,0,28101,223835
COFACE,2019,591752,372495,386474,78990,302303,86575,124853,-16955,138527,61059
Concord,2019,20500,14253,14454,2489,12643,5585,-327,315,7687,4290
Dah Sing Insurance (1976),2019,557527,398194,353324,81183,343162,174203,209964,-3197,63746,1628
East Point Re,2019,0,0,0,0,0,0,-5,0,19,-14
EULER HERMES,2019,451782,80338,83622,-36648,176440,53858,30621,0,75011,14638
Factory Mutual,2019,125388,49504,47893,-8582,6810,3072,19324,0,9519,27632
Falcon Insurance,2019,411450,256143,251182,60264,304058,167282,133609,250,52675,4384
First American Title,2019,4550,4550,4550,0,29,29,279,0,7242,-2971
FWD General,2019,602572,302777,295966,43958,326714,140452,136433,0,95007,20568
GAN,2019,0,0,0,0,7323,6993,-19367,0,3323,16044
Gard M&E Ltd.,2019,53326,25772,26244,11249,12661,9062,18465,0,590,-4060
GenRe,2019,35573,28527,27992,573,-2275,-521,25899,0,9027,-7507
Hang Seng Insurance,2019,0,0,0,0,0,0,0,0,0,0
Hannover Re,2019,307180,153590,152789,29356,192238,96119,81550,-1123,7793,35213
HDI,2019,274754,95877,93537,2912,361429,27566,5268,-10413,36150,59620
HKMCI,2019,542438,466215,356823,138189,2446,-1003,3397,0,32915,182322
Hong Leong Insurance (Asia),2019,234439,81653,81405,-36825,100365,34361,39638,0,54187,24405
HSBC Insurance,2019,0,0,0,0,0,0,0,0,0,0
Liberty Int'l,2019,1123697,1048064,999594,228879,630261,579619,618456,0,132488,19771
LSMHK,2019,315240,200270,168713,38410,68652,31686,59223,0,65563,5517
Lloyd's,2019,675181,510897,576805,147187,570118,462625,422377,-44,14762,-7477
London Steam-Ship,2019,39033,7400,7150,3897,25619,2562,2616,0,2116,-1479
Min Xin,2019,16746,13926,10154,3396,12538,10305,-4058,-547,5243,6120
MSIG Insurance,2019,1057708,828422,833493,215388,470114,377627,372871,-8686,237868,16052
Munich Re,2019,283457,249036,209282,34898,123204,122608,12340,0,29039,133005
New India,2019,110169,106105,102605,36783,53735,53735,82989,0,7603,-24770
Pacific Insurance,2019,140290,119810,113692,22504,59231,48020,62983,1406,22384,4415
Paofoong,2019,81564,69681,70445,16083,41702,31707,37652,0,8692,8018
PartnerRe Europe,2019,4893,1816,1839,72,3312,1431,-1595,0,946,2416
Peak Re,2019,679210,628478,636370,141488,220304,208383,522245,0,15186,-42549
PICC (HK),2019,571686,123661,143438,19396,160280,77345,158034,20369,45757,-100118
Pioneer,2019,24786,18404,18432,6019,10294,6487,5603,122,11021,-4333
Prudential (HK) General,2019,1092100,1001818,979261,268533,538194,502479,522699,-888,131790,57127
QBE General Insurance (HK),2019,491018,457090,466673,164423,235997,197245,161315,1020,138522,1393
QBE HKSI,2019,1328413,1222651,1191256,420866,949072,510837,762487,0,277353,-269450
QBE MI Asia,2019,71053,53601,47400,-4700,146,109,448,0,14761,36891
Swiss Re,2019,661530,658536,778499,104018,1049600,1047136,757043,0,84763,-167325
SCOR Re,2019,130358,127275,123192,41022,135219,127346,105475,0,3821,-27126
SEIL,2019,86716,63871,57482,-1705,0,0,32385,329,1115,25358
Shipowners' Mutual,2019,74791,69546,65762,10242,51146,32236,94824,0,15093,-54397
Sincere Insurance,2019,67,6,5,2,0,0,0,0,0,3
SIL,2019,394192,167231,160985,-1326,287203,37322,80215,-1517,22536,61077
Sompo Insurance (HK),2019,512350,256732,258390,61440,373285,107185,131068,116,61942,3824
Sompo Japan,2019,2744,2582,3573,1754,83357,82873,-39075,0,1854,39040
Sompo Japan Nipponkoa Re,2019,0,0,0,0,0,0,0,0,0,0
Standard Club Asia,2019,0,0,0,0,0,0,0,0,0,0
Starr,2019,405012,150965,154896,6474,271139,92861,130785,1356,48109,-31828
STEAMSHIP MUTUAL,2019,0,0,0,0,0,0,0,0,0,0
Sun Hung Kai,2019,710476,330829,238476,-58227,409076,215608,175892,18734,29656,72421
Swiss Re (Asia),2019,0,0,0,0,0,0,0,0,0,0
Swiss Re Int'l SE,2019,124962,7032,2575,-36139,430373,-13322,-6466,0,25341,19839
TPRe,2019,1100359,760312,735469,168354,592279,430394,446892,0,38289,81934
Target,2019,527743,443674,397897,42498,358691,306561,491768,20770,66195,-223334
Toa Re,2019,109376,105098,106508,-277,51832,51832,117094,6981,5860,-23150
TMF (HK),2019,367673,283259,288827,51199,160355,131237,120946,163,67172,49347
Transatlantic Re,2019,93962,91778,85133,33229,95415,95398,12210,0,6180,33514
Trinity,2019,140389,122266,122127,9420,128895,107064,121941,-1821,4387,-11800
TT Club,2019,248311,37971,35485,-28963,103830,8040,5470,0,58721,257
Tugu,2019,42839,12779,13527,2234,106167,32544,-31023,1646,8700,31970
United Builders,2019,14868,10682,8916,1495,15946,7731,2891,-645,6639,-1464
UK P&I Club (Europe),2019,43372,11350,11350,3370,21517,2116,3745,0,2047,2188
Well Link Insurance,2019,80854,53369,45297,-3815,53740,30096,44304,-2031,34484,-27645
West of England ,2019,482884,144538,144538,52929,377019,70208,70902,0,33490,-12783
XL Insurance,2019,1127889,230640,247137,42389,321304,107299,157460,17800,121898,-92410
ZGIHK,2019,0,0,0,0,0,0,0,0,0,0
Zurich Insurance,2019,2468318,1082412,968090,278015,1300130,733033,320593,-7633,380512,-3397
ABCI,2020,256469,37804,38290,1379,123856,16284,26747,1572,21399,-12807
Aetna,2020,340794,336397,323329,39063,260590,254423,255373,20413,26526,-18046
AIA (HK),2020,196221,196221,205252,35050,114052,114052,119549,0,4426,46227
AIA International,2020,1698208,1267320,1193484,44384,1170176,886881,893909,0,133711,121480
AIG Insurance HK,2020,1947496,768422,781503,-159752,1087936,423635,479393,6550,325069,130243
AGCS SE,2020,1114701,602609,591743,25402,334637,214109,274588,-10445,232529,69669
Allied World,2020,965241,701888,740300,126019,518670,409084,319318,2603,156132,136228
Arch MI Asia,2020,-25,-25,35174,0,1068,679,508,0,23358,11308
Asia Capital Re,2020,11181,5144,66126,3055,207984,147759,90433,14916,2859,-45137
Asia Insurance,2020,1710654,1093074,1024515,249220,706354,387973,503683,0,117579,154033
ASIA-PACIFIC P&C,2020,39433,21971,20586,877,6680,4569,8338,0,7746,3625
Generali,2020,1525846,1310594,1308328,251186,921465,770138,854532,30548,102662,69400
Gard P&I,2020,318848,154363,153556,16685,175736,146042,142951,0,5246,-11326
Skuld,2020,330108,100519,100901,9451,53902,17959,56009,0,63351,-27910
ACyC,2020,105764,41426,44237,-16267,23299,7582,19404,0,22258,18842
Avo Insurance,2020,1012,912,1125,-10,4,2,285,0,24649,-23799
AXA China (Bermuda),2020,43409,43409,41346,17727,12366,11521,-16364,0,6516,33467
AXA China (HK),2020,1015425,525143,566055,54317,727734,417447,464529,0,57498,-10289
AXA General,2020,4432763,3480510,3439950,655397,2833653,1752284,1834614,0,577701,372238
AXA Life,2020,0,0,0,0,0,0,0,0,342,-342
BOC Group Insurance,2020,1844905,1412775,1372812,235588,996395,770741,900801,0,94418,142005
BC Re,2020,148395,130975,127228,32967,108307,91416,67142,-4000,8179,22940
BE Re,2020,142755,137105,129616,33861,94266,84459,86311,-2701,9767,2378
Berkley Insurance,2020,180645,157295,150361,36916,32078,27480,62568,-2153,28464,24566
BHSI,2020,1097952,217205,120063,-53888,176454,35290,80046,-519,88292,6132
Blue Cross,2020,1206124,1143268,1161994,141476,757284,722238,663514,550,71720,284734
Britannia P&I,2020,36716,8949,8949,4848,8273,574,6950,0,6505,-9354
Bupa,2020,3901846,3375352,3370110,206634,2552796,2223070,2256835,45264,663274,198103
California Insurance,2020,59529,49144,51031,17415,39134,28200,44928,-1634,8414,-18092
CGN Captive,2020,284102,137082,121356,21673,11443,5072,8263,0,9455,81965
Chevalier,2020,184448,172512,94694,12608,43900,41650,13182,12251,17992,38661
China BOCOM,2020,197428,51553,69244,16285,146404,21584,33765,-3747,19912,3029
China Merchants,2020,229318,128294,134951,25969,49003,36566,72141,0,23947,12894
China Overseas Insurance,2020,268651,209799,217683,1283,168523,149633,221562,0,12816,-17978
China Pacific,2020,322830,111255,104415,17902,133230,33863,59319,-2825,20562,9457
China Ping An,2020,498134,293039,283035,75940,316020,174834,225017,2871,29613,-50406
CTPI(HK),2020,3569977,2571166,2640466,881050,1847037,1240095,1396367,-562,273207,90404
Chong Hing,2020,37067,26271,26794,-2740,21793,19451,9358,-36,9820,10392
Chubb Insurance,2020,1689761,877875,813771,146937,647215,308818,393306,1430,240762,31336
CIGNA Worldwide General,2020,1093216,1085509,1047250,87030,652712,645174,668050,0,266216,25954
CMBWL,2020,735411,613159,588875,95141,283640,239509,345252,-9522,61666,96338
CNOOC Insurance,2020,657518,202015,209087,0,265984,33628,35771,0,31806,141510
COFACE,2020,499522,317070,320192,36843,248717,142594,45597,1776,156606,79370
Concord,2020,19942,13990,14188,2035,4777,4335,1034,-64,15246,-4063
Dah Sing Insurance (1976),2020,551564,395701,380880,77798,259446,183762,249362,0,62009,-8289
East Point Re,2020,0,0,0,0,0,0,-4,0,5,-1
EULER HERMES,2020,341270,72381,69080,-28588,211045,89268,94232,0,54700,-51264
Factory Mutual,2020,207881,119794,98140,-3056,82902,33551,52238,0,12227,36731
Falcon Insurance,2020,401921,246103,246906,58838,296401,133563,124014,-12908,58220,18742
First American Title,2020,-34,-34,-34,0,0,0,-185,0,6909,-6758
FWD General,2020,581937,272350,287392,19388,310665,132534,113014,0,109229,45761
GAN,2020,0,0,0,0,1781,1770,-6768,0,3229,3539
