Insurer,FY,Gross Premium,Net Premium,Net Earned Premium,Net Commisions Payable,Gross Claims Paid,Net Claims Paid,Net Claims Incurred,Unexpired Risk Adjustment,Management Expenses,Underwriting Profit/Loss
Gard M&E Ltd.,2020,59786,28680,28295,9898,21804,14385,23029,0,465,-5097
GenRe,2020,53979,43204,30599,-98,20164,19687,-8969,0,7821,31845
Hang Seng Insurance,2020,0,0,0,0,0,0,0,0,0,0
Hannover Re,2020,383844,191922,190580,40503,217899,108950,135929,1264,11765,1119
HDI,2020,356409,137708,132512,8272,259771,84822,64019,-4790,32426,32585
HKMCI,2020,2072030,1841392,454795,665739,6397,4328,23958,0,35596,-270498
Hong Leong Insurance (Asia),2020,248311,75861,77370,-39784,139187,38029,38823,0,62221,16110
HSBC Insurance,2020,0,0,0,0,0,0,0,0,0,0
Liberty Int'l,2020,1234237,1166150,1125906,254521,598789,565681,658268,0,133359,79758
LSMHK,2020,402272,249191,209584,40132,71615,44945,95849,0,71630,1973
Lloyd's,2020,688531,550999,452929,147185,408054,321548,205648,18826,16305,64965
London Steam-Ship,2020,35361,6681,6600,4193,26552,2655,1567,0,1775,-935
Min Xin,2020,32331,24203,19784,6414,11081,8830,10522,822,4312,-2286
MSIG Insurance,2020,1011641,752081,761897,199485,439382,319614,347761,-6032,206448,14235
Munich Re,2020,488195,473148,350088,45715,-110161,-110284,230073,0,26709,47591
New India,2020,95026,92587,98890,29785,65340,65340,121272,0,7851,-60018
OneDegree,2020,8559,7718,2140,-202,1615,1295,1490,0,28984,-28132
Pacific Insurance,2020,149855,128233,128104,21287,58739,50826,86556,-1170,22418,-987
Paofoong,2020,76448,64642,64625,16410,32972,32553,32059,-736,8981,7911
PartnerRe Europe,2020,7176,2494,1864,-116,899,444,3719,0,699,-2438
Peak Re,2020,934277,867460,819438,160293,302565,276009,773166,0,19958,-133979
PICC (HK),2020,633284,152966,153277,11625,203064,98640,118785,-32588,37366,18089
Pioneer,2020,28214,19176,18543,5529,7285,4784,4154,155,11547,-2842
Prudential (HK) General,2020,1002602,943949,946652,250120,484852,451159,506404,-212,140743,49597
QBE General Insurance (HK),2020,382394,363727,379285,147611,151673,125802,49674,-1449,101680,81769
QBE HKSI,2020,1095442,1006700,1105300,330137,851166,471455,631811,0,246099,-102747
QBE MI Asia,2020,168997,84851,49854,-6449,536,402,410,0,14280,41613
SCOR Re,2020,133221,106826,109326,35535,154323,85882,63538,0,5496,4757
SEIL,2020,50709,44276,50653,933,17079,16477,38475,-329,878,10696
Shipowners' Mutual,2020,75790,70713,68619,10593,31590,33161,67172,0,14519,-23665
Sincere Insurance,2020,20,2,4,-1,0,0,0,0,0,5
SIL,2020,354847,164768,161029,-10674,155756,88091,90428,-18,25696,55597
Sompo Insurance (HK),2020,485401,231288,235058,49229,270988,103320,110110,-255,60066,15908
Sompo Japan,2020,1540,659,1633,204,249937,235650,37520,0,1286,-37377
Sompo Japan Nipponkoa Re,2020,0,0,0,0,0,0,0,0,0,0
Standard Club Asia,2020,44876,8519,8495,1045,15794,1624,3004,0,3699,747
Starr,2020,447997,100326,102956,-17823,306976,111399,102661,581,37340,-19803
STEAMSHIP MUTUAL,2020,171576,39733,39610,7669,25650,16214,19043,0,8347,4551
Sun Hung Kai,2020,635772,284697,289114,-63818,429649,191662,241259,8723,30064,72886
Swiss Re (Asia),2020,998795,998087,987963,145269,829974,822826,827590,-4031,32575,-13440
Swiss Re Int'l SE,2020,196655,9171,7653,-19712,451003,2309,3826,0,22981,558
TPRe,2020,1534606,957444,890355,173282,571211,380028,564265,0,54714,98094
Target,2020,559551,474544,475131,55954,450472,380810,325465,-23556,60090,57178
Toa Re,2020,122440,117487,122994,33866,72665,72546,52617,-4053,6206,34358
TMF (HK),2020,387777,294160,284481,52433,116800,105025,105175,-163,64043,62993
Transatlantic Re,2020,81063,77146,97445,25455,73418,73345,77875,0,4657,-10542
Trinity,2020,126693,111269,111840,9059,121438,99234,148720,972,3626,-50537
TT Club,2020,234463,37414,37336,-15510,103292,8382,7675,0,43080,2091
Tugu,2020,41822,8642,10141,787,81196,9576,-10928,-2125,6789,15618
United Builders,2020,38602,29266,10730,2461,13103,12069,2886,6594,6309,-7520
UK P&I Club,2020,42825,8839,8839,3372,33512,3360,2389,0,2683,395
Well Link Insurance,2020,101931,92100,77158,4526,55696,33995,57070,-959,34902,-18381
West of England ,2020,469903,132814,132638,47851,282339,66804,42433,0,31494,10860
XL Insurance,2020,1586218,263547,267316,45923,501907,191482,119453,-10405,121824,-9479
ZGIHK,2020,0,0,0,0,0,0,0,0,0,0
Zurich Insurance,2020,2250756,1294553,1333292,246384,1002328,582061,744459,2818,396870,-57239
ABCI,2021,259737,32767,33714,-2223,175245,19687,19554,525,23529,-7671
Aetna,2021,435520,429691,391994,45171,306096,301958,304491,-8750,26441,24641
AIA (HK),2021,208001,191093,188296,32421,166842,155375,155777,0,4118,-4020
AIA International,2021,1701065,1258429,1273246,43486,1483620,1085108,1078680,0,126307,24773
AIG Insurance HK,2021,1944670,764986,758470,-119956,909930,341738,469205,0,324123,85098
AGCS SE,2021,1204667,650566,601664,17375,317094,203072,343528,-1817,213731,28847
Allied World,2021,772181,559690,589200,111742,536428,382078,372234,-439,132380,-26717
Arch MI Asia,2021,-319,-319,29288,0,265,265,1173,22963,21644,-16492
Asia Capital Re,2021,-2020,-1444,8167,-246,27989,37552,-1832,-2394,6442,6197
Asia Insurance,2021,1883252,1206085,1132337,282517,788201,430709,569241,0,104486,176093
ASIA-PACIFIC P&C,2021,51625,30181,28877,2201,31213,19812,16669,0,9706,301
Generali,2021,1735170,957970,1016722,128685,868497,737051,681254,-11600,154677,63706
Gard P&I,2021,386750,202847,202815,6274,171378,142203,256831,0,4731,-65021
Skuld,2021,349736,108128,107714,10053,347297,83885,50558,0,64978,-17875
ACyC,2021,112576,55696,53122,-12403,10401,5330,5697,0,47412,12416
Avo Insurance,2021,1427,1205,950,-35,5,4,43,0,26219,-25277
AXA China (Bermuda),2021,388832,388832,297513,80236,98329,98062,102653,0,10453,104171
AXA China (HK),2021,1000230,588711,562913,60084,867049,534212,485374,0,53758,-36303
AXA General,2021,4255141,3628240,3583854,682497,3162507,2054664,2161735,0,639231,100391
AXA Life,2021,0,0,0,0,0,0,0,0,300,-300
BOC Group Insurance,2021,1586818,1216914,1343770,171661,948413,802846,817250,37129,78464,239266
BC Re,2021,165367,139028,129093,32608,71383,65910,56363,-307,9938,30491
BE Re,2021,154288,149707,134663,30781,65477,61918,67428,2080,10778,23596
Berkley Insurance,2021,269586,237028,210602,57641,35295,32157,87523,-38,34261,31215
BHSI,2021,680386,133127,144677,-62896,316707,44322,91211,-247,97301,19308
Blue Cross,2021,1099982,1037242,1056632,131892,868232,835421,811740,13145,72105,27750
Britannia Europe P&I,2021,0,0,0,0,0,0,0,0,0,3889
Britannia P&I,2021,40418,6817,6817,2095,83123,3904,15,0,12082,-11264
Bupa,2021,4109182,3441077,3352280,196553,3210737,2787380,2814918,-45264,429421,-43348
California Insurance,2021,51746,42223,42050,15903,40419,29178,10297,857,7133,7860
CGN Captive,2021,331618,169500,154628,24500,6779,5898,23757,0,9799,96572
Chevalier,2021,393748,359972,186903,32115,41688,35960,93614,-358,18097,43435
China BOCOM,2021,223094,59484,56471,17298,90997,10802,21910,-794,18454,-397
China Merchants,2021,256315,128428,129107,17174,64491,42799,52958,1407,25280,32288
China Overseas Insurance,2021,346065,278009,237273,2201,178440,163283,214355,27237,13386,-19906
China Pacific,2021,333900,103795,107193,20173,170639,45231,68312,2432,20506,-4230
China Ping An,2021,529152,290170,295057,84385,433988,238941,229351,-4300,28947,-43326
CTPI(HK),2021,2639830,1692159,1826137,397976,1403920,1047720,1049223,4448,256994,117496
Chong Hing,2021,39808,28326,28843,-2468,18799,15854,13670,-529,10615,7555
Chubb Insurance,2021,1584791,820748,810925,139875,547303,307968,353853,-2407,235893,83711
CIGNA Worldwide General,2021,1237150,1233761,1167253,88034,793584,791984,801855,0,268702,8662
CMBWL,2021,853114,683464,644511,101325,320347,267921,393337,-17029,65046,101832
CNOOC Insurance,2021,638130,236689,238036,0,206764,37405,82840,0,28753,126443
COFACE,2021,479722,297787,309775,12549,232196,102385,22201,-7459,156280,126204
Concord,2021,37566,20561,14772,2193,6219,3555,3464,-251,22203,-12837
Dah Sing Insurance (1976),2021,593367,410486,377505,81921,328752,243153,237837,0,63780,-6033
East Point Re,2021,0,0,0,0,0,0,-57,0,2,55
EULER HERMES,2021,402655,89204,93651,-26345,39254,8955,16799,0,68724,34473
Factory Mutual,2021,242638,120931,114720,-9473,24067,16434,-3687,0,16201,111679
Falcon Insurance,2021,417821,260797,266563,63935,244380,151663,125824,-2193,60139,18858
First American Title,2021,0,0,0,0,0,0,0,0,3796,-3796
FuSure Re,2021,0,0,0,0,0,0,0,0,0,0
FWD General,2021,521898,206185,256733,58104,299690,118002,85793,0,89216,23620
GAN,2021,0,0,0,0,994,992,-9898,0,2911,6987
Gard M&E Ltd.,2021,70409,33229,30918,8988,28656,18957,21008,0,512,410
GenRe,2021,50022,40366,43343,-662,21439,17152,-8490,0,10978,41517
Hang Seng Insurance,2021,0,0,0,0,0,0,0,0,0,0
Hannover Re,2021,213259,106630,107113,-7620,152022,76011,115242,1859,6316,-8684
HDI,2021,363667,152031,131309,13145,148240,39368,30641,954,33064,53505
HKMCI,2021,3036000,2839155,831191,961383,729,-2794,28665,0,43942,-202799
Hong Leong Insurance (Asia),2021,219133,69417,67978,-35405,144896,30661,31035,0,54609,17739
HSBC Insurance,2021,0,0,0,0,0,0,0,0,0,0
Liberty Int'l,2021,1306714,1244978,1193960,269946,717951,688066,793380,0,155113,-24479
LSMHK,2021,452508,282693,267135,54650,95410,31463,130386,0,68624,13475
Lloyd's,2021,632224,477813,458253,120836,316742,250311,235510,3151,15987,82769
London Steam-Ship,2021,26398,4851,4823,3376,11907,1190,2042,0,1282,-1877
Min Xin,2021,40168,28497,28343,8213,12952,10559,23450,48,3979,-7347
MSIG Insurance,2021,961060,718186,736218,197242,355698,310434,306664,2116,225617,4579
Munich Re,2021,458185,439782,388821,48339,173959,173765,153714,0,21681,165087
New India,2021,101331,97597,98063,30143,78335,78335,163992,1989,7375,-105436
OneDegree,2021,45945,44394,25111,-444,25510,24806,27070,0,72862,-74377
Pacific Insurance,2021,135131,115275,118597,18456,84317,67098,77761,-4246,23740,2886
Paofoong,2021,66511,57220,59750,15611,29573,27473,25957,-195,8274,10103
PartnerRe Europe,2021,14990,5176,3872,329,3968,1757,840,0,1297,1406
Peak Re,2021,837615,779891,786374,184095,420175,388800,572100,0,19711,10468
PICC (HK),2021,824627,129289,144228,-9415,240245,102060,84531,-14099,32878,50333
Pioneer,2021,26249,18354,19194,5571,8163,6609,2451,85,11639,-552
Prudential (HK) General,2021,954529,903560,904246,233191,514942,506338,488432,-3084,134557,51150
QBE General Insurance (HK),2021,374975,342370,338582,128052,101157,84176,46235,0,107034,57261
QBE HKSI,2021,1132355,1025323,991973,272910,671726,496396,504878,0,253793,-39608
QBE MI Asia,2021,206304,102970,64734,-14028,-333,-250,-467,0,17701,61528
SCOR Re,2021,139458,102099,93277,33642,74636,33770,43220,0,13064,3351
SEIL,2021,258,-93,-747,-35,8328,7915,-10122,0,2360,7050
Shipowners' Mutual,2021,87061,81014,76697,11893,33886,46762,24468,0,15342,24994
Sincere Insurance,2021,0,0,0,0,0,0,0,0,0,0
SIL,2021,538845,179050,164342,-14810,231123,136272,90365,444,24771,63572
Sompo Insurance (HK),2021,485745,261738,249929,52022,239948,100649,106983,1152,61191,28581
Standard Club Asia,2021,61556,11548,11527,1535,25293,2630,7443,0,6051,-3502
Starr,2021,624089,167384,126105,-1127,269594,62267,65220,-702,46133,16581
STEAMSHIP MUTUAL,2021,173541,44670,44685,9633,62724,19632,29704,0,7615,-2267
Sun Hung Kai,2021,715867,317571,306368,-69647,443349,188350,241628,18137,28521,87729
Swiss Re (Asia),2021,820949,819473,733289,136779,746038,743949,708972,-578,50244,-162128
Swiss Re Int'l SE,2021,174856,10223,8071,-23522,218811,-1512,-977,0,22739,9831
TPRe,2021,1515004,1060411,973132,222483,501136,315953,643542,0,49365,57742
Target,2021,809532,724088,617033,93918,458120,386028,478237,40359,70715,-66196
Toa Re,2021,128816,124584,120639,32544,66951,66951,17508,-2886,5517,67956
TMF (HK),2021,399930,306856,298736,55707,163642,133442,142028,1605,69914,29482
Transatlantic Re,2021,70899,64485,63647,19617,21393,21157,36269,0,4825,2936
Trinity,2021,109573,94725,112739,8184,133054,118494,150909,7288,4446,-58088
TT Club,2021,248285,42400,41202,-15038,91781,6143,15796,0,40188,256
Tugu,2021,74626,40843,35905,11013,85184,17439,30440,2538,10450,-18536
United Builders,2021,75948,55462,27801,5685,9749,6886,22002,-2313,6552,-4125
UK P&I Club,2021,43610,8601,8601,3112,25611,1946,2034,0,1457,1998
Well Link Insurance,2021,117026,105977,101348,12393,68070,48867,66129,89,37721,-14984
West of England ,2021,476490,130439,130321,47702,230999,63008,94966,0,30718,-43065
XL Insurance,2021,1788799,246853,237400,-8283,512896,98122,96408,-26623,117308,58590
ZGIHK,2021,0,0,0,0,0,0,0,0,0,0
Zurich Insurance,2021,2430981,1446772,1412854,290754,1019404,582541,887730,32623,334199,-132452
ABCI,2022,226499,39550,35436,1230,131232,20870,19439,2623,25825,-13681
Aetna,2022,312811,308463,412661,48776,302886,302886,298118,-11663,15393,62037
AIA (HK),2022,358903,332897,319400,33362,287289,268624,280372,0,4166,1500
AIA International,2022,1906417,1243842,1227162,52523,1601106,1055093,1052806,0,167493,-45660
AIG Insurance HK,2022,2111246,881105,840989,-112431,458893,241665,481786,0,377941,93693
AGCS SE,2022,1487770,635129,667807,-3066,361603,223618,288180,7905,230138,144650
Allied World,2022,768289,578116,574217,112859,333883,263884,127430,-658,161224,173362
Arch MI Asia,2022,-177,-177,22322,0,146,-936,-1468,-2234,20894,5130
Asia Capital Re,2022,0,0,0,0,0,0,0,0,0,0
Asia Insurance,2022,2053632,1354889,1275309,344902,714205,473113,593684,10000,136923,189800
ASIA-PACIFIC P&C,2022,46996,26640,27355,2023,21523,14765,16618,0,13192,-4478
Generali,2022,1908805,683243,756198,30179,749806,590277,452086,-13539,194477,92995
Gard P&I,2022,370943,195533,195382,14037,185189,151588,138478,0,8722,34145
Skuld,2022,371812,105865,104748,8580,207028,58928,44645,0,64544,-13021
ACyC,2022,118185,67109,67063,-7114,10638,6152,39714,0,50664,-16201
Avo Insurance,2022,2016,1737,1291,-110,96,87,227,0,28489,-27315
AXA China (Bermuda),2022,635641,635641,597886,190331,190253,190248,344815,0,20421,42319
AXA China (HK),2022,1043951,623067,623577,67605,834988,528192,497403,0,80503,-21934
AXA General,2022,4425989,3845454,3796379,692543,3182877,2169717,2227182,0,643078,233576
AXA Life,2022,0,0,0,0,0,0,0,0,300,-300
BOC Group Insurance,2022,1860139,1583070,1351065,193099,820984,742215,726660,90905,91782,248619
BC Re,2022,151370,124471,127736,35378,64146,59807,62730,-2500,9793,22335
BE Re,2022,127366,122826,125756,32713,55750,50918,81941,-6448,10485,7065
Berkley Insurance,2022,254644,222315,224742,58094,38657,28674,73417,867,37600,54764
BHSI,2022,565093,110043,143924,-61371,509705,58078,101063,10538,89931,3763
Blue Cross,2022,1155522,1094187,1085928,135575,849754,812613,816985,-18903,79891,72380
Bolttech Insurance,2022,520397,271479,260553,63103,294604,102826,101388,0,114711,-18649
Britannia Europe P&I,2022,47850,11831,11831,3217,29518,783,5292,0,14568,-11246
Bupa,2022,4049004,3337930,3288274,195494,3117478,2661679,2627875,0,601348,-136443
California Insurance,2022,46032,38113,37149,14553,37084,23181,9049,559,5875,7113
CGN Captive,2022,314674,215205,201968,24917,28430,5122,47664,0,10488,118899
Chevalier,2022,602503,567857,325454,58595,41571,38698,208631,-14764,19649,53343
China BOCOM,2022,260588,73703,72952,33241,153195,21796,26004,1593,21379,-9265
China Merchants,2022,0,0,0,0,0,0,0,0,0,0
China Overseas Insurance,2022,450316,367020,437227,5885,191279,168506,443009,-37141,11749,13725
China Pacific,2022,385689,138902,135136,25671,144905,45329,72985,-65,21782,14763
China Ping An,2022,530846,287174,291914,84007,352542,222584,218664,-1766,30425,-39416
CTPI(HK),2022,2711422,1788850,1794162,426302,1265508,874748,1070616,-692,257854,40082
Chong Hing,2022,40600,29696,30245,-2115,12194,11347,9760,-250,9440,13410
Chubb Insurance,2022,1776038,914901,904364,149414,620003,371275,333372,-595,257284,164889
CIGNA Worldwide General,2022,1623976,1512274,1429048,118121,962063,958697,997543,0,567093,-253709
CMBWL,2022,1202705,883293,840164,120645,440331,336100,496679,-30931,104615,149156
CNOOC Insurance,2022,966592,333295,286978,0,153754,36667,73717,0,52036,161225
COFACE,2022,467868,290255,304841,25354,192500,108710,69667,5432,132422,71966
Concord,2022,87051,31049,20509,1978,2553,1231,8627,4005,36695,-30796
Dah Sing Insurance (1976),2022,732483,521440,376398,87483,253027,182348,211673,0,79712,-2470
East Point Re,2022,0,0,0,0,0,0,0,0,0,0
EULER HERMES,2022,470035,110700,82865,-45756,-19555,-8536,354,0,72328,55939
Factory Mutual,2022,234265,106944,112822,-11826,12567,7633,-1142,0,19865,105925
Falcon Insurance,2022,454239,268340,270561,63202,190159,126678,141000,-609,56414,10554
First American Title,2022,0,0,0,0,0,0,0,0,4075,-4075
FuSure Re,2022,29779,29779,10427,2978,793,793,9722,0,944,-3217
Gard M&E Ltd.,2022,80110,37844,38765,10140,32271,19939,19312,0,1551,7762
GenRe,2022,65994,52365,49941,55,5513,4965,404,0,12957,36525
Hannover Re,2022,221671,110852,110582,9675,252048,126041,119772,-601,6187,-24451
HDI,2022,377454,174987,181582,18533,146588,29398,100698,4855,28671,28825
HKMCI,2022,2558053,2211270,1149017,720116,6457,4165,33106,0,42289,353506
Hong Leong Insurance (Asia),2022,213955,64793,67315,-34201,102780,30424,31639,0,56189,13688
HSBC Insurance,2022,0,0,0,0,0,0,0,0,0,0
Liberty Int'l,2022,1433110,1372810,1338292,292067,715628,691513,738934,0,195550,111741
LSMHK,2022,502263,320461,289178,53245,35078,21172,72266,0,70565,93102
Lloyd's,2022,595121,444117,406553,118113,278331,218097,-93913,-21723,16529,387547
London Steam-Ship,2022,45223,23879,23663,5396,16195,1619,1758,0,1353,15156
Min Xin,2022,44991,34107,30571,8505,18455,12545,24412,443,4035,-6824
MSIG Insurance,2022,978521,736250,735591,185096,356260,286818,265300,723,226331,58141
Munich Re,2022,430127,408407,439617,42094,174946,174846,310067,0,20245,67211
New India,2022,42970,40490,65978,10612,107123,106334,58365,-1989,7775,-8785
OneDegree,2022,115437,64630,64891,-6919,64977,57747,60230,0,133425,-121845
Pacific Insurance,2022,136702,116446,114529,17259,89245,58684,62519,-2956,23904,13803
Paofoong,2022,73113,61895,63095,15528,32084,30401,28877,-37,8980,9747
PartnerRe Europe,2022,18351,6394,5694,879,2208,869,2242,0,3114,-541
Peak Re,2022,712567,596729,555688,107935,410950,358915,278936,0,17940,150877
PICC (HK),2022,1123815,148132,145642,-27249,256095,99383,78284,180,35601,58826
Pioneer,2022,23875,17565,17880,5143,8392,8113,8112,-5,12044,-7414
Prudential (HK) General,2022,975240,920601,920096,234704,504353,496259,514123,2738,139468,29063
QBE General Insurance (HK),2022,390449,357613,350697,142356,76179,74262,58954,0,92826,56561
QBE HKSI,2022,1137555,1048829,1040674,272187,522897,438529,510865,0,227492,30130
QBE MI Asia,2022,72032,35839,75768,-20038,-771,-579,-510,0,19795,76521
SCOR Re,2022,148658,130096,121772,38369,28326,14180,34344,0,14808,34251
SEIL,2022,49517,42868,42925,1319,21112,18958,28379,0,6192,7035
Shipowners' Mutual,2022,80260,74012,77681,12414,36493,36161,4746,0,16202,44319
Sincere Insurance,2022,0,0,0,0,0,0,0,0,0,0
SIL,2022,456685,141716,128450,-24525,355192,57302,53152,132,30210,69481
Sompo Insurance (HK),2022,473565,276455,242674,52560,188892,90538,102755,7765,62126,17468
Standard Club Asia,2022,56377,12214,12254,2563,56800,5894,1925,0,3721,4045
Starr,2022,736384,36966,70847,-89475,238459,46518,49753,1711,25654,83204
STEAMSHIP MUTUAL,2022,189258,48112,47809,10924,52810,20771,30059,0,8546,-1720
Sun Hung Kai,2022,732314,319892,331131,-73600,359198,177861,252084,11601,31713,109333
Swiss Re (Asia),2022,652938,652287,691912,113849,503838,504024,33537,-910,28728,516708
Swiss Re Int'l SE,2022,156584,11408,10967,-21370,131329,646,1671,0,24571,6095
TPRe,2022,1435106,1034785,983299,215602,414957,272494,565511,0,39242,162944
Target,2022,128130,82833,388712,54038,286379,242460,524647,-24133,83429,-249269
Toa Re,2022,133485,128891,131699,31324,55516,55516,34332,-42,5890,60195
TMF (HK),2022,440250,322563,313070,58680,136915,115128,123774,883,81061,48672
Transatlantic Re,2022,85745,75980,77114,20622,64950,64210,27067,0,5534,23891
Trinity,2022,128452,109291,94042,6893,105992,92380,80575,-7605,4340,9839
TT Club,2022,293187,50670,49941,-21657,120137,9664,6719,0,47257,17622
Tugu,2022,120626,69992,61099,19044,66388,29093,76538,18020,10502,-63005
United Builders,2022,83867,71552,60790,11125,14262,10139,43682,-5029,8116,2896
UK P&I Club,2022,46455,8621,8621,3335,25873,2524,917,0,1750,2619
Well Link Insurance,2022,115354,104046,111718,14332,47294,36622,72366,128,37160,-12268
West of England,2022,571740,161214,161239,57605,303320,-57997,83961,0,38642,-18969
XL Insurance,2022,1848705,223331,207108,-24348,1010507,97236,56896,-7507,163402,18665
ZGIHK,2022,0,0,0,0,0,0,0,0,0,0
Zurich Insurance,2022,2585352,1522908,1497513,321422,1033856,617116,663848,-35948,344659,203532
